artist_id,common_name,wiki_url,language_count
245,Tom Rush,https://en.wikipedia.org/wiki/Tom_Rush,7.0
246,Dominique Horwitz,,
247,Andrea McArdle,https://en.wikipedia.org/wiki/Andrea_McArdle,6.0
248,Jay-Z,https://en.wikipedia.org/wiki/Jay-Z,76.0
249,The Five Du-Tones,,
251,Marco Masini,https://en.wikipedia.org/wiki/Marco_Masini,15.0
253,Syria,https://en.wikipedia.org/wiki/Syria_(singer),6.0
254,Michael Jackson,,
255,Richard Shindell,https://en.wikipedia.org/wiki/Richard_Shindell,4.0
256,Dar Williams,,
257,Helena Lemkovitch,,
258,Three Dog Night,,
259,Filter,https://en.wikipedia.org/wiki/Filter_(band),15.0
260,Thin Lizzy,https://en.wikipedia.org/wiki/Thin_Lizzy,42.0
261,Aidan Bell,,
263,El Chicano,,
264,Marty Robbins,https://en.wikipedia.org/wiki/Marty_Robbins,24.0
265,Spice Girls,https://en.wikipedia.org/wiki/Spice_Girls,72.0
266,Wildside,,
268,The Drifters,,
269,Donna Summer,https://en.wikipedia.org/wiki/Donna_Summer,75.0
271,Jay & The Americans,,
272,José Feliciano,,
273,The Mamas and The Papas,https://en.wikipedia.org/wiki/The_Mamas_&_the_Papas,45.0
275,Astrud Gilberto,https://en.wikipedia.org/wiki/Astrud_Gilberto,49.0
276,Al Green,https://en.wikipedia.org/wiki/Al_Green,38.0
277,The Stooges,,
278,Isaac Hayes,https://en.wikipedia.org/wiki/Isaac_Hayes,52.0
279,Jack Jones,https://en.wikipedia.org/wiki/Jack_Jones_(American_singer),21.0
281,Roky Erickson,https://en.wikipedia.org/wiki/Roky_Erickson,16.0
282,Robbie Williams,https://en.wikipedia.org/wiki/Robbie_Williams,77.0
283,Chaka Khan,https://en.wikipedia.org/wiki/Chaka_Khan,45.0
285,LL Cool J,https://en.wikipedia.org/wiki/LL_Cool_J,43.0
287,Poster Children,https://en.wikipedia.org/wiki/Poster_Children,0.0
288,Lipstique,,
289,Trini Lopez,,
290,Exude,,
291,The Police,https://en.wikipedia.org/wiki/The_Police,59.0
292,The Coasters,,
293,Bad Company,https://en.wikipedia.org/wiki/Bad_Company,28.0
294,Red Hot Chili Peppers,https://en.wikipedia.org/wiki/Red_Hot_Chili_Peppers,94.0
296,Negative Space,,
297,U2,https://en.wikipedia.org/wiki/U2,105.0
298,Grateful Dead,https://en.wikipedia.org/wiki/Grateful_Dead,48.0
300,Dave Mason,https://en.wikipedia.org/wiki/Dave_Mason,18.0
302,Diamond Head,https://en.wikipedia.org/wiki/Diamond_Head_(British_band),22.0
302,Diamond Head,https://en.wikipedia.org/wiki/Brian_Tatler,5.0
303,Blue Öyster Cult,https://en.wikipedia.org/wiki/Blue_Öyster_Cult,39.0
304,Blitzkrieg,,
