"artist_id","common_name","wiki_url","genres"
"259","Filter","https://en.wikipedia.org/wiki/Filter_(band)","Industrial rock|post-grunge|alternative rock|hard rock|industrial metal|alternative metal"
"260","Thin Lizzy","https://en.wikipedia.org/wiki/Thin_Lizzy","Hard rock|blues rock|heavy metal|[|1|]|folk rock|(early)"
"264","Marty Robbins","https://en.wikipedia.org/wiki/Marty_Robbins","Country|western|pop"
"265","Spice Girls","https://en.wikipedia.org/wiki/Spice_Girls","Pop|dance-pop|teen pop|R&B"
"269","Donna Summer","https://en.wikipedia.org/wiki/Donna_Summer","Disco|pop|rock|R&B|dance|Eurodisco|funk|[|1|]|post-disco|Hi-NRG"
"273","The Mamas and The Papas","https://en.wikipedia.org/wiki/The_Mamas_&_the_Papas","Folk rock|sunshine pop"
"275","Astrud Gilberto","https://en.wikipedia.org/wiki/Astrud_Gilberto","Bossa nova|Brazilian jazz"
"276","Al Green","https://en.wikipedia.org/wiki/Al_Green","Soul|R&B|gospel|Southern soul|[|1|]|progressive soul|[|2|]"
"278","Isaac Hayes","https://en.wikipedia.org/wiki/Isaac_Hayes","Progressive soul|[|1|]|funk|[|2|]|psychedelic soul|[|3|]|disco"
"279","Jack Jones","https://en.wikipedia.org/wiki/Jack_Jones_(American_singer)","Traditional pop|jazz|big band"
"281","Roky Erickson","https://en.wikipedia.org/wiki/Roky_Erickson","Psychedelic rock|garage rock|acid rock"
"282","Robbie Williams","https://en.wikipedia.org/wiki/Robbie_Williams","Pop|pop rock|soft rock|electronic dance|alternative rock"
"283","Chaka Khan","https://en.wikipedia.org/wiki/Chaka_Khan","R&B|soul|funk|pop|disco|jazz|gospel"
"285","LL Cool J","https://en.wikipedia.org/wiki/LL_Cool_J","East Coast hip-hop"
"287","Poster Children","https://en.wikipedia.org/wiki/Poster_Children","Alternative rock|indie rock|punk rock|post-hardcore"
"291","The Police","https://en.wikipedia.org/wiki/The_Police","New wave|reggae rock|post-punk|pop rock"
"293","Bad Company","https://en.wikipedia.org/wiki/Bad_Company","Hard rock|[|1|]|blues rock"
"294","Red Hot Chili Peppers","https://en.wikipedia.org/wiki/Red_Hot_Chili_Peppers","Funk rock|alternative rock|rap rock|funk metal"
"297","U2","https://en.wikipedia.org/wiki/U2","Rock|alternative rock|pop rock|post-punk"
"298","Grateful Dead","https://en.wikipedia.org/wiki/Grateful_Dead","Rock"
