Original Genre,Mapped Genre
female vocalists,Pop
black metal,Rock
experimental rock,Rock
baroque music,Classical
indie pop,Pop
neo soul,Jazz/Blues
christian metal,Rock
smooth jazz,Jazz/Blues
dancehall,Hip-Hop/Rap
bluegrass,World/Other
folk punk,World/Other
dance pop,Pop
dream pop,Rock
folktronica,World/Other
industrial rock,Rock
rhythm and blues,Jazz/Blues
neo soul,Jazz/Blues
experimental hip hop,Hip-Hop/Rap
electronicore,Rock
psychobilly,Rock
vaporwave,Electronic/Dance
industrial metal,Rock
indie rock,Rock
country pop,World/Other
trap,Hip-Hop/Rap
acoustic pop,Pop
british invasion,Rock
roots reggae,World/Other
indie electronic,Electronic/Dance
power pop,Pop
noise rock,Rock
metalcore,Rock
modern classical,Classical
country rock,World/Other
folktronica,World/Other
melodic death metal,Rock
pop punk,Rock
britpop,Rock
post hardcore,Rock
indie pop,Pop
drum and bass,Electronic/Dance
reggae,World/Other
deep house,Electronic/Dance
ska punk,Rock
rock and roll,Rock
blues rock,Jazz/Blues
country,World/Other
funk,Jazz/Blues
glam rock,Rock
classic rock,Rock
british folk,World/Other
trap music,Hip-Hop/Rap
vocal jazz,Jazz/Blues
acid jazz,Jazz/Blues
industrial,Rock
punk rock,Rock
nu metal,Rock
glitch hop,Electronic/Dance
acoustic,Pop
future garage,Electronic/Dance
dubstep,Electronic/Dance
rap rock,Hip-Hop/Rap
indie pop,Pop
hip hop,Hip-Hop/Rap
emo,Rock
punk,Rock
hip hop soul,Hip-Hop/Rap
electro swing,Jazz/Blues
jazz fusion,Jazz/Blues
funk rock,Rock
pop rock,Pop
post punk,Rock
pop punk,Rock
garage rock,Rock
emo pop,Pop
indie pop,Pop
britpop,Rock
indie rock,Rock
hard rock,Rock
power metal,Rock
progressive rock,Rock
progressive metal,Rock
heavy metal,Rock
symphonic metal,Rock
death metal,Rock
black metal,Rock
thrash metal,Rock
speed metal,Rock
folk metal,Rock
doom metal,Rock
glam metal,Rock
gothic metal,Rock
nu metal,Rock
metalcore,Rock
post metal,Rock
math rock,Rock
post rock,Rock
noise rock,Rock
experimental rock,Rock
indie rock,Rock
garage punk,Rock
psychobilly,Rock
hardcore punk,Rock
crust punk,Rock
thrash metal,Rock
deathcore,Rock
grindcore,Rock
powerviolence,Rock
metalcore,Rock
post metal,Rock
blackgaze,Rock
djent,Rock
mathcore,Rock
ambient,Electronic/Dance
chillout,Electronic/Dance
downtempo,Electronic/Dance
trip hop,Electronic/Dance
future bass,Electronic/Dance
trap,Electronic/Dance
electro,Electronic/Dance
house,Electronic/Dance
techno,Electronic/Dance
drum and bass,Electronic/Dance
dubstep,Electronic/Dance
electronica,Electronic/Dance
idm,Electronic/Dance
synthpop,Electronic/Dance
electropop,Electronic/Dance
electro house,Electronic/Dance
progressive house,Electronic/Dance
tech house,Electronic/Dance
deep house,Electronic/Dance
big beat,Electronic/Dance
breakbeat,Electronic/Dance
glitch,Electronic/Dance
industrial,Rock
ambient techno,Electronic/Dance
acid house,Electronic/Dance
acid jazz,Jazz/Blues
jazz fusion,Jazz/Blues
smooth jazz,Jazz/Blues
swing,Jazz/Blues
bebop,Jazz/Blues
cool jazz,Jazz/Blues
hard bop,Jazz/Blues
free jazz,Jazz/Blues
modal jazz,Jazz/Blues
vocal jazz,Jazz/Blues
contemporary jazz,Jazz/Blues
traditional pop,Pop
baroque,Classical
classical,Classical
early music,Classical
medieval music,Classical
renaissance music,Classical
chamber music,Classical
orchestral,Classical
opera,Classical
symphony,Classical
ballet,Classical
world,World/Other
folk,World/Other
traditional,World/Other
ethnic,World/Other
indigenous,World/Other
afrobeat,World/Other
reggae,World/Other
latin,World/Other
caribbean,World/Other
blues,Jazz/Blues
gospel,Jazz/Blues
