"artist_id","common_name","wiki_url","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11","genre_12","genre_13"
"214","Eric Clapton","https://en.wikipedia.org/wiki/Eric_Clapton","rock","blues","","","","","","","","","","",""
"216","Mark Knopfler","https://en.wikipedia.org/wiki/Mark_Knopfler","roots rock","celtic rock","blues rock","country rock","","","","","","","","",""
"222","Philip Glass","https://en.wikipedia.org/wiki/Philip_Glass","","","","","","","","","","","","",""
"223","Aerosmith","https://en.wikipedia.org/wiki/Aerosmith","hard rock","blues rock","heavy metal","","","","","","","","","",""
"224","Eminem","https://en.wikipedia.org/wiki/Eminem","midwestern hip-hop","","","","","","","","","","","",""
"225","Jerry Jeff Walker","https://en.wikipedia.org/wiki/Jerry_Jeff_Walker","progressive country","outlaw country","folk","","","","","","","","","",""
"227","Buffy Sainte-Marie","https://en.wikipedia.org/wiki/Buffy_Sainte-Marie","folk","rock","country folk","","","","","","","","","",""
"229","Alex Chilton","https://en.wikipedia.org/wiki/Alex_Chilton","rock","power pop","indie rock","blue-eyed soul","","","","","","","","",""
"230","Elvis Costello","https://en.wikipedia.org/wiki/Elvis_Costello","rock","pop","new wave","power pop","punk rock","pub rock","","","","","","",""
"233","Henry Mancini","https://en.wikipedia.org/wiki/Henry_Mancini","film scores","rock and roll","easy listening","jazz rock","","","","","","","","",""
"239","Mariah Carey","https://en.wikipedia.org/wiki/Mariah_Carey","r&b","pop","hip hop","soul","","","","","","","","",""
"240","No Doubt","https://en.wikipedia.org/wiki/No_Doubt","ska punk","ska","pop rock","new wave","alternative rock","pop-punk","reggae","","","","","",""
"243","Bing Crosby","https://en.wikipedia.org/wiki/Bing_Crosby","traditional pop","jazz","easy listening","","","","","","","","","",""
"245","Tom Rush","https://en.wikipedia.org/wiki/Tom_Rush","blues","folk","country","","","","","","","","","",""
"247","Andrea McArdle","https://en.wikipedia.org/wiki/Andrea_McArdle","","","","","","","","","","","","",""
"248","Jay-Z","https://en.wikipedia.org/wiki/Jay-Z","east coast hip-hop","","","","","","","","","","","",""
"251","Marco Masini","https://en.wikipedia.org/wiki/Marco_Masini","","","","","","","","","","","","",""
"253","Syria","https://en.wikipedia.org/wiki/Syria_(singer)","","","","","","","","","","","","",""
"255","Richard Shindell","https://en.wikipedia.org/wiki/Richard_Shindell","folk","singer-songwriter","","","","","","","","","","",""
"259","Filter","https://en.wikipedia.org/wiki/Filter_(band)","industrial rock","post-grunge","alternative rock","hard rock","industrial metal","alternative metal","","","","","","",""
"260","Thin Lizzy","https://en.wikipedia.org/wiki/Thin_Lizzy","hard rock","blues rock","heavy metal","folk rock","","","","","","","","",""
"264","Marty Robbins","https://en.wikipedia.org/wiki/Marty_Robbins","country","western","pop","","","","","","","","","",""
"265","Spice Girls","https://en.wikipedia.org/wiki/Spice_Girls","pop","dance-pop","teen pop","r&b","","","","","","","","",""
