"artist_id","common_name","wiki_url","genre_1","genre_2","genre_3","genre_4","genre_5","genre_6","genre_7","genre_8","genre_9","genre_10","genre_11","genre_12","genre_13","main_genre_1","main_genre_2","main_genre_3","main_genre_4","main_genre_5","main_genre_6","main_genre_7","main_genre_8","main_genre_9","main_genre_10","main_genre_11","main_genre_12","main_genre_13"
"103","Elvis Presley","https://en.wikipedia.org/wiki/Elvis_Presley","rock and roll","pop","rockabilly","country","gospel","r&b","soul","blues","","","","","","rock","pop","rock","","other","electronic","r&b & soul","","","","","",""
"105","Elton John","https://en.wikipedia.org/wiki/Elton_John","pop rock","glam rock","soft rock","blues","","","","","","","","","","rock","rock","rock","","","","","","","","","",""
"108","Mark Snow","https://en.wikipedia.org/wiki/Mark_Snow","","","","","","","","","","","","","","","","","","","","","","","","","",""
"111","Coolio","https://en.wikipedia.org/wiki/Coolio","west coast hip-hop","gangsta rap","pop rap","","","","","","","","","","","hip hop","hip hop","hip hop","","","","","","","","","",""
"112","Mecano","https://en.wikipedia.org/wiki/Mecano","pop","synth-pop","new wave","pop rock","","","","","","","","","","pop","electronic","electronic","rock","","","","","","","","",""
"114","Shocking Blue","https://en.wikipedia.org/wiki/Shocking_Blue","psychedelic rock","nederbeat","garage pop","","","","","","","","","","","rock","rock","","","","","","","","","","",""
"116","Pearl Jam","https://en.wikipedia.org/wiki/Pearl_Jam","alternative rock","grunge","hard rock","","","","","","","","","","","rock","rock","rock","","","","","","","","","",""
"119","ABBA","https://en.wikipedia.org/wiki/ABBA","pop","disco","pop rock","europop","","","","","","","","","","pop","electronic","rock","pop","","","","","","","","",""
"123","Sam Cooke","https://en.wikipedia.org/wiki/Sam_Cooke","soul","r&b","gospel","","","","","","","","","","","r&b & soul","electronic","other","","","","","","","","","",""
"128","Peter Gabriel","https://en.wikipedia.org/wiki/Peter_Gabriel","progressive rock","art rock","worldbeat","progressive soul","","","","","","","","","","rock","rock","electronic","r&b & soul","","","","","","","","",""
"132","Nick Lowe","https://en.wikipedia.org/wiki/Nick_Lowe","pub rock","new wave","power pop","","","","","","","","","","","rock","electronic","rock","","","","","","","","","",""
"134","Jimi Hendrix","https://en.wikipedia.org/wiki/Jimi_Hendrix","rock","psychedelia","blues","r&b","","","","","","","","","","rock","","","electronic","","","","","","","","",""
"138","Charlie Parker","https://en.wikipedia.org/wiki/Charlie_Parker","jazz","bebop","","","","","","","","","","","","jazz","jazz","","","","","","","","","","",""
"139","Shirley Bassey","https://en.wikipedia.org/wiki/Shirley_Bassey","r&b","pop","jazz","soul","","","","","","","","","","electronic","pop","jazz","r&b & soul","","","","","","","","",""
"140","Michel Fugain","https://en.wikipedia.org/wiki/Michel_Fugain","french variety songs","ballads","","","","","","","","","","","","","","","","","","","","","","","",""
"142","Ben E. King","https://en.wikipedia.org/wiki/Ben_E._King","soul","r&b","doo-wop","","","","","","","","","","","r&b & soul","electronic","r&b & soul","","","","","","","","","",""
"144","Sezen Aksu","https://en.wikipedia.org/wiki/Sezen_Aksu","pop","","","","","","","","","","","","","pop","","","","","","","","","","","",""
"146","Birth Control","https://en.wikipedia.org/wiki/Birth_Control_(band)","krautrock","hard rock","progressive rock","","","","","","","","","","","electronic","rock","rock","","","","","","","","","",""
"148","Willie Nelson","https://en.wikipedia.org/wiki/Willie_Nelson","country","blues","jazz","gospel","","","","","","","","","","","","jazz","other","","","","","","","","",""
"150","Leonard Cohen","https://en.wikipedia.org/wiki/Leonard_Cohen","folk","rock","pop","soft rock","pop rock","country","synthpop","sophisti-pop","","","","","","folk","rock","pop","rock","rock","","","electronic","","","","",""
"152","Alice Cooper","https://en.wikipedia.org/wiki/Alice_Cooper_(band)","hard rock","glam rock","shock rock","psychedelic rock","","","","","","","","","","rock","rock","","rock","","","","","","","","",""
"153","Pet Shop Boys","https://en.wikipedia.org/wiki/Pet_Shop_Boys","synth-pop","dance-pop","disco","house","hi-nrg","art pop","","","","","","","","electronic","electronic","electronic","","electronic","pop","","","","","","",""
"155","Neil Diamond","https://en.wikipedia.org/wiki/Neil_Diamond","rock","pop","folk","country","soft rock","","","","","","","","","rock","pop","folk","","rock","","","","","","","",""
"156","Smash Mouth","https://en.wikipedia.org/wiki/Smash_Mouth","alternative rock","power pop","pop rock","ska punk","","","","","","","","","","rock","rock","rock","world","","","","","","","","",""
"158","Bob Dylan","https://en.wikipedia.org/wiki/Bob_Dylan","folk","blues","rock","gospel","country","traditional pop","","","","","","","","folk","","rock","other","","pop","","","","","","",""
"160","Bobby McFerrin","https://en.wikipedia.org/wiki/Bobby_McFerrin","jazz","a cappella","vocal","world","classical","vocal jazz","","","","","","","","jazz","other","","world","classical","jazz","","","","","","",""
"162","Bryan Adams","https://en.wikipedia.org/wiki/Bryan_Adams","rock","pop rock","soft rock","arena rock","heartland rock","","","","","","","","","rock","rock","rock","rock","rock","","","","","","","",""
"167","Peter Frampton","https://en.wikipedia.org/wiki/Peter_Frampton","rock","","","","","","","","","","","","","rock","","","","","","","","","","","",""
"169","Nirvana","https://en.wikipedia.org/wiki/Nirvana_(band)","grunge","alternative rock","punk rock","","","","","","","","","","","rock","rock","rock","","","","","","","","","",""
"171","Muse","https://en.wikipedia.org/wiki/Muse_(band)","alternative rock","progressive rock","space rock","hard rock","progressive metal","art rock","electronic rock","","","","","","","rock","rock","electronic","rock","metal","rock","electronic","","","","","",""
"172","Grace Jones","https://en.wikipedia.org/wiki/Grace_Jones","r&b","disco","new wave","art pop","reggae","dance","club","","","","","","","electronic","electronic","electronic","pop","world","","","","","","","",""
"176","Dusty Springfield","https://en.wikipedia.org/wiki/Dusty_Springfield","pop","blue-eyed soul","french chanson","country","jazz","","","","","","","","","pop","r&b & soul","","","jazz","","","","","","","",""
"181","Gene Pitney","https://en.wikipedia.org/wiki/Gene_Pitney","pop","country","","","","","","","","","","","","pop","","","","","","","","","","","",""
"185","Sugar Ray","https://en.wikipedia.org/wiki/Sugar_Ray","alternative rock","pop rock","nu metal","funk metal","","","","","","","","","","rock","rock","metal","metal","","","","","","","","",""
"187","Gary Moore","https://en.wikipedia.org/wiki/Gary_Moore","blues","blues rock","hard rock","heavy metal","jazz fusion","","","","","","","","","","rock","rock","","jazz","","","","","","","",""
"190","Chris Isaak","https://en.wikipedia.org/wiki/Chris_Isaak","rockabilly","country","rock and roll","soft rock","","","","","","","","","","rock","","rock","rock","","","","","","","","",""
"191","Scorpions","https://en.wikipedia.org/wiki/Scorpions_(band)","hard rock","heavy metal","","","","","","","","","","","","rock","","","","","","","","","","","",""
"192","Helloween","https://en.wikipedia.org/wiki/Helloween","power metal","speed metal","","","","","","","","","","","","metal","metal","","","","","","","","","","",""
"193","Jethro Tull","https://en.wikipedia.org/wiki/Jethro_Tull_(band)","progressive rock","folk rock","hard rock","blues rock","","","","","","","","","","rock","rock","rock","rock","","","","","","","","",""
"196","Focus","https://en.wikipedia.org/wiki/Focus_(band)","progressive rock","jazz fusion","","","","","","","","","","","","rock","jazz","","","","","","","","","","",""
"198","Frank Marino","https://en.wikipedia.org/wiki/Frank_Marino","hard rock","psychedelic rock","blues rock","heavy metal","","","","","","","","","","rock","rock","rock","","","","","","","","","",""
"199","Cream","https://en.wikipedia.org/wiki/Cream_(band)","psychedelic rock","blues rock","acid rock","hard rock","jam rock","","","","","","","","","rock","rock","rock","rock","","","","","","","","",""
"201","Deep Purple","https://en.wikipedia.org/wiki/Deep_Purple","hard rock","heavy metal","","","","","","","","","","","","rock","","","","","","","","","","","",""
"202","Muddy Waters","https://en.wikipedia.org/wiki/Muddy_Waters","blues","chicago blues","delta blues","","","","","","","","","","","","blues / country","blues / country","","","","","","","","","",""
"203","Steppenwolf","https://en.wikipedia.org/wiki/Steppenwolf_(band)","psychedelic rock","blues rock","acid rock","hard rock","heavy metal","garage rock","","","","","","","","rock","rock","rock","rock","","rock","","","","","","",""
"204","NOFX","https://en.wikipedia.org/wiki/NOFX","punk rock","melodic hardcore","skate punk","ska punk","pop-punk","","","","","","","","","rock","punk","punk","world","","","","","","","","",""
"205","Rancid","https://en.wikipedia.org/wiki/Rancid_(band)","punk rock","ska punk","street punk","","","","","","","","","","","rock","world","punk","","","","","","","","","",""
"209","Grand Funk Railroad","https://en.wikipedia.org/wiki/Grand_Funk_Railroad","hard rock","","","","","","","","","","","","","rock","","","","","","","","","","","",""
"211","Metallica","https://en.wikipedia.org/wiki/Metallica","heavy metal","thrash metal","speed metal","hard rock","","","","","","","","","","","metal","metal","rock","","","","","","","","",""
"212","Dire Straits","https://en.wikipedia.org/wiki/Dire_Straits","roots rock","blues rock","pub rock","","","","","","","","","","","rock","rock","rock","","","","","","","","","",""
"214","Eric Clapton","https://en.wikipedia.org/wiki/Eric_Clapton","rock","blues","","","","","","","","","","","","rock","","","","","","","","","","","",""
"216","Mark Knopfler","https://en.wikipedia.org/wiki/Mark_Knopfler","roots rock","celtic rock","blues rock","country rock","","","","","","","","","","rock","rock","rock","rock","","","","","","","","",""
"222","Philip Glass","https://en.wikipedia.org/wiki/Philip_Glass","","","","","","","","","","","","","","","","","","","","","","","","","",""
"223","Aerosmith","https://en.wikipedia.org/wiki/Aerosmith","hard rock","blues rock","heavy metal","","","","","","","","","","","rock","rock","","","","","","","","","","",""
"224","Eminem","https://en.wikipedia.org/wiki/Eminem","midwestern hip-hop","","","","","","","","","","","","","","","","","","","","","","","","",""
"225","Jerry Jeff Walker","https://en.wikipedia.org/wiki/Jerry_Jeff_Walker","progressive country","outlaw country","folk","","","","","","","","","","","","","folk","","","","","","","","","",""
"227","Buffy Sainte-Marie","https://en.wikipedia.org/wiki/Buffy_Sainte-Marie","folk","rock","country folk","","","","","","","","","","","folk","rock","","","","","","","","","","",""
"229","Alex Chilton","https://en.wikipedia.org/wiki/Alex_Chilton","rock","power pop","indie rock","blue-eyed soul","","","","","","","","","","rock","rock","rock","r&b & soul","","","","","","","","",""
"230","Elvis Costello","https://en.wikipedia.org/wiki/Elvis_Costello","rock","pop","new wave","power pop","punk rock","pub rock","","","","","","","","rock","pop","electronic","rock","rock","rock","","","","","","",""
"233","Henry Mancini","https://en.wikipedia.org/wiki/Henry_Mancini","film scores","rock and roll","easy listening","jazz rock","","","","","","","","","","","rock","other","rock","","","","","","","","",""
"239","Mariah Carey","https://en.wikipedia.org/wiki/Mariah_Carey","r&b","pop","hip hop","soul","","","","","","","","","","electronic","pop","electronic","r&b & soul","","","","","","","","",""
"240","No Doubt","https://en.wikipedia.org/wiki/No_Doubt","ska punk","ska","pop rock","new wave","alternative rock","pop-punk","reggae","","","","","","","world","world","rock","electronic","rock","","world","","","","","",""
"243","Bing Crosby","https://en.wikipedia.org/wiki/Bing_Crosby","traditional pop","jazz","easy listening","","","","","","","","","","","pop","jazz","other","","","","","","","","","",""
"245","Tom Rush","https://en.wikipedia.org/wiki/Tom_Rush","blues","folk","country","","","","","","","","","","","","folk","","","","","","","","","","",""
"247","Andrea McArdle","https://en.wikipedia.org/wiki/Andrea_McArdle","","","","","","","","","","","","","","","","","","","","","","","","","",""
"248","Jay-Z","https://en.wikipedia.org/wiki/Jay-Z","east coast hip-hop","","","","","","","","","","","","","hip hop","","","","","","","","","","","",""
"251","Marco Masini","https://en.wikipedia.org/wiki/Marco_Masini","","","","","","","","","","","","","","","","","","","","","","","","","",""
"253","Syria","https://en.wikipedia.org/wiki/Syria_(singer)","","","","","","","","","","","","","","","","","","","","","","","","","",""
"255","Richard Shindell","https://en.wikipedia.org/wiki/Richard_Shindell","folk","singer-songwriter","","","","","","","","","","","","folk","folk","","","","","","","","","","",""
"259","Filter","https://en.wikipedia.org/wiki/Filter_(band)","industrial rock","post-grunge","alternative rock","hard rock","industrial metal","alternative metal","","","","","","","","electronic","rock","rock","rock","electronic","metal","","","","","","",""
"260","Thin Lizzy","https://en.wikipedia.org/wiki/Thin_Lizzy","hard rock","blues rock","heavy metal","folk rock","","","","","","","","","","rock","rock","","rock","","","","","","","","",""
"264","Marty Robbins","https://en.wikipedia.org/wiki/Marty_Robbins","country","western","pop","","","","","","","","","","","","","pop","","","","","","","","","",""
"265","Spice Girls","https://en.wikipedia.org/wiki/Spice_Girls","pop","dance-pop","teen pop","r&b","","","","","","","","","","pop","electronic","pop","electronic","","","","","","","","",""
"269","Donna Summer","https://en.wikipedia.org/wiki/Donna_Summer","disco","pop","rock","r&b","dance","eurodisco","funk","post-disco","hi-nrg","","","","","electronic","pop","rock","electronic","","electronic","electronic","electronic","electronic","","","",""
"273","The Mamas and The Papas","https://en.wikipedia.org/wiki/The_Mamas_&_the_Papas","folk rock","sunshine pop","","","","","","","","","","","","rock","pop","","","","","","","","","","",""
"275","Astrud Gilberto","https://en.wikipedia.org/wiki/Astrud_Gilberto","bossa nova","brazilian jazz","","","","","","","","","","","","world","jazz","","","","","","","","","","",""
"276","Al Green","https://en.wikipedia.org/wiki/Al_Green","soul","r&b","gospel","southern soul","progressive soul","","","","","","","","","r&b & soul","electronic","other","r&b & soul","r&b & soul","","","","","","","",""
"278","Isaac Hayes","https://en.wikipedia.org/wiki/Isaac_Hayes","progressive soul","funk","psychedelic soul","disco","","","","","","","","","","r&b & soul","electronic","r&b & soul","electronic","","","","","","","","",""
"279","Jack Jones","https://en.wikipedia.org/wiki/Jack_Jones_(American_singer)","traditional pop","jazz","big band","","","","","","","","","","","pop","jazz","jazz","","","","","","","","","",""
"281","Roky Erickson","https://en.wikipedia.org/wiki/Roky_Erickson","psychedelic rock","garage rock","acid rock","","","","","","","","","","","rock","rock","rock","","","","","","","","","",""
"282","Robbie Williams","https://en.wikipedia.org/wiki/Robbie_Williams","pop","pop rock","soft rock","electronic dance","alternative rock","","","","","","","","","pop","rock","rock","","rock","","","","","","","",""
"283","Chaka Khan","https://en.wikipedia.org/wiki/Chaka_Khan","r&b","soul","funk","pop","disco","jazz","gospel","","","","","","","electronic","r&b & soul","electronic","pop","electronic","jazz","other","","","","","",""
"285","LL Cool J","https://en.wikipedia.org/wiki/LL_Cool_J","east coast hip-hop","","","","","","","","","","","","","hip hop","","","","","","","","","","","",""
"287","Poster Children","https://en.wikipedia.org/wiki/Poster_Children","alternative rock","indie rock","punk rock","post-hardcore","","","","","","","","","","rock","rock","rock","punk","","","","","","","","",""
"291","The Police","https://en.wikipedia.org/wiki/The_Police","new wave","reggae rock","post-punk","pop rock","","","","","","","","","","electronic","world","punk","rock","","","","","","","","",""
"293","Bad Company","https://en.wikipedia.org/wiki/Bad_Company","hard rock","blues rock","","","","","","","","","","","","rock","rock","","","","","","","","","","",""
"294","Red Hot Chili Peppers","https://en.wikipedia.org/wiki/Red_Hot_Chili_Peppers","funk rock","alternative rock","rap rock","funk metal","","","","","","","","","","rock","rock","hip hop","metal","","","","","","","","",""
"297","U2","https://en.wikipedia.org/wiki/U2","rock","alternative rock","pop rock","post-punk","","","","","","","","","","rock","rock","rock","punk","","","","","","","","",""
"298","Grateful Dead","https://en.wikipedia.org/wiki/Grateful_Dead","rock","","","","","","","","","","","","","rock","","","","","","","","","","","",""
"300","Dave Mason","https://en.wikipedia.org/wiki/Dave_Mason","rock","pop rock","progressive rock","soft rock","","","","","","","","","","rock","rock","rock","rock","","","","","","","","",""
"302","Diamond Head","https://en.wikipedia.org/wiki/Diamond_Head_(British_band)","heavy metal","","","","","","","","","","","","","","","","","","","","","","","","",""
"302","Diamond Head","https://en.wikipedia.org/wiki/Brian_Tatler","heavy metal","","","","","","","","","","","","","","","","","","","","","","","","",""
"303","Blue Öyster Cult","https://en.wikipedia.org/wiki/Blue_Öyster_Cult","hard rock","heavy metal","occult rock","psychedelic rock","progressive rock","acid rock","","","","","","","","rock","","rock","rock","rock","rock","","","","","","",""
"306","Motörhead","https://en.wikipedia.org/wiki/Motörhead","heavy metal","hard rock","speed metal","","","","","","","","","","","","rock","metal","","","","","","","","","",""
"307","Misfits","https://en.wikipedia.org/wiki/Misfits_(band)","horror punk","hardcore punk","punk rock","","","","","","","","","","","punk","punk","rock","","","","","","","","","",""
"316","Lisa Stansfield","https://en.wikipedia.org/wiki/Lisa_Stansfield","r&b","soul","blue-eyed soul","pop","dance","","","","","","","","","electronic","r&b & soul","r&b & soul","pop","","","","","","","","",""
"318","Laid Back","https://en.wikipedia.org/wiki/Laid_Back","electro","synth-pop","post-disco","new wave","","","","","","","","","","hip hop","electronic","electronic","electronic","","","","","","","","",""
"319","Frank Sinatra","https://en.wikipedia.org/wiki/Frank_Sinatra","traditional pop","easy listening","jazz","swing","big band","","","","","","","","","pop","other","jazz","jazz","jazz","","","","","","","",""
"320","Nat King Cole","https://en.wikipedia.org/wiki/Nat_King_Cole","r&b","jazz","traditional pop","easy listening","","","","","","","","","","electronic","jazz","pop","other","","","","","","","","",""
"326","Carlos Santana","https://en.wikipedia.org/wiki/Carlos_Santana","latin rock","blues rock","jazz fusion","","","","","","","","","","","world","rock","jazz","","","","","","","","","",""
